source,target,type,weight,reason
E06,E01,depends,0.85,保底与挑战任务需要先掌握识别目标与能力
E06,E09,depends,0.85,保底与挑战任务需要先掌握课前基线记录
E07,C03,depends,0.85,证据量规批改需要先掌握限定输出与标准
E07,B12,depends,0.85,证据量规批改需要先掌握承认不确定性
E08,E07,depends,0.85,具体纠错反馈需要先掌握证据量规批改
E09,E07,depends,0.85,课前基线记录需要先掌握证据量规批改
E10,E09,depends,0.85,平行任务结课测需要先掌握课前基线记录
E10,E07,depends,0.85,平行任务结课测需要先掌握证据量规批改
E11,E10,depends,0.85,D5逐人学情报告需要先掌握平行任务结课测
E11,E08,depends,0.85,D5逐人学情报告需要先掌握具体纠错反馈
E11,F03,depends,0.85,D5逐人学情报告需要先掌握进度记录最小字段
E12,E04,depends,0.85,人工介入与复核需要先掌握卡点排查四问
E12,B12,depends,0.85,人工介入与复核需要先掌握承认不确定性
F01,E01,depends,0.85,S0至S4阶段需要先掌握识别目标与能力
F02,E11,depends,0.85,D6整期案例包需要先掌握D5逐人学情报告
F02,F04,depends,0.85,D6整期案例包需要先掌握作品展示同意
F02,F09,depends,0.85,D6整期案例包需要先掌握承接率计量
F02,F10,depends,0.85,D6整期案例包需要先掌握指标分母与缺失
F03,B09,depends,0.85,进度记录最小字段需要先掌握个人信息最小化
F04,B09,depends,0.85,作品展示同意需要先掌握个人信息最小化
F05,B04,depends,0.85,工具能力清单需要先掌握模型与联网区别
F06,F05,depends,0.85,只读检索先行需要先掌握工具能力清单
F06,C09,depends,0.85,只读检索先行需要先掌握知识卡最小单元
F07,F05,depends,0.85,写入前确认范围需要先掌握工具能力清单
F07,B09,depends,0.85,写入前确认范围需要先掌握个人信息最小化
F08,E03,depends,0.85,故障降级教学需要先掌握演示并让学员复做
F08,C09,depends,0.85,故障降级教学需要先掌握知识卡最小单元
F09,F10,depends,0.85,承接率计量需要先掌握指标分母与缺失
F10,B12,depends,0.85,指标分母与缺失需要先掌握承认不确定性
F11,E07,depends,0.85,训练验收与回归需要先掌握证据量规批改
F11,C12,depends,0.85,训练验收与回归需要先掌握知识冲突处理
F12,F11,depends,0.85,审核发布与回滚需要先掌握训练验收与回归
F12,C11,depends,0.85,审核发布与回滚需要先掌握来源版本与复审
A01,A02,analogy,0.65,鼠标与文字输入是两种人机输入方式
A04,A11,analogy,0.65,调整步骤与调整显示都应依据学员反馈
A10,B09,analogy,0.65,账号保护与最小化上传共同减少信息暴露
A06,C06,analogy,0.65,撤销局部改动类似按反馈局部修订，但AI修订不保证可逆
A09,A10,analogy,0.65,可信安装与账号保护分别保护入口和身份
B03,B07,contrast,0.65,生成的引文形式不能代替元数据证据
B07,B08,contrast,0.65,查到且匹配与未命中是不同证据状态
B02,B12,analogy,0.65,判断能力边界与声明证据范围共同校准期待
B11,B06,analogy,0.65,身份核实与事实核实都需要独立渠道
C01,C02,contrast,0.65,目标描述与背景资料分别回答做什么和根据什么
C04,E03,analogy,0.65,提示样例与教学示范都可帮助理解标准
C05,E05,analogy,0.65,任务分解与课时分段都需要可检查的中间产物
C08,C11,contrast,0.65,会话摘要不等于来源的长期版本记录
D01,D03,contrast,0.65,复习提纲与提交写作属于不同用途
D05,D02,analogy,0.65,会议提取与阅读摘要都要返回原始材料
D08,F04,analogy,0.65,素材授权和学员作品展示同意分别覆盖不同权利主体
D11,D12,contrast,0.65,生活创意文本与时效事实的核验负担不同
E01,E09,contrast,0.65,当下目标诊断与标准化基线测评不等同
E06,E02,analogy,0.65,任务难度和讲解节奏都是可调整的教学支持
E08,C06,analogy,0.65,助教反馈应帮助学员具体迭代
E12,F08,contrast,0.65,转交真人与工具故障降级是两种不同回退
F01,E05,contrast,0.65,S阶段管理整期；D3管理每课；编号语义不同
F02,E11,contrast,0.65,D6整期汇总不同于D5个人报告
F09,F10,analogy,0.65,承接率和其他比例都需要固定分母
F06,F07,contrast,0.65,只读检索与有外部影响的写入权限不同
F11,F12,analogy,0.65,测试证据支撑审核发布，变更后还需回归
E11,E09,contains,0.85,逐人学情报告包含实际基线记录
E11,E08,contains,0.85,逐人学情报告包含具体反馈记录
F02,E11,contains,0.85,整期案例包汇总经授权的个人报告证据
